Sport,TotPkts,TotBytes,SrcPkts,DstPkts,SrcBytes,service,flag,protocol_type,count,srv_count,dst_host_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_bytes,class
64876,18,1152,10,8,644,courier,REJ,tcp,106,7,255,0.03,0.05,0,1
64879,18,1152,10,8,644,http,SF,tcp,20,24,255,1,0,1394,0
64880,18,1152,10,8,644,domain_u,SF,udp,150,216,255,0.89,0.02,138,0
64881,18,1152,10,8,644,other,SF,udp,1,1,255,0,0.65,105,0
64882,18,1152,10,8,644,mtp,S0,tcp,231,9,255,0.04,0.06,0,1
64883,18,1152,10,8,644,telnet,RSTO,tcp,2,2,16,1,0,179,1
64886,20,1276,10,10,644,http,SF,tcp,1,1,120,1,0,5966,0
64887,20,1276,10,10,644,ecr_i,SF,icmp,511,511,255,0.3,0.04,0,1
64884,20,1276,10,10,644,http,SF,tcp,1,6,7,1,0,7003,0
64885,20,1276,10,10,644,ftp,S0,tcp,279,10,255,0.04,0.08,0,1
64888,20,1276,10,10,644,other,SF,udp,1,1,255,0,0.62,105,0
64889,20,1276,10,10,644,http,SF,tcp,15,15,46,1,0,2500,0
64890,20,1276,10,10,644,other,SF,udp,1,1,255,0,0.13,105,0
64891,20,1276,10,10,644,domain_u,SF,udp,156,156,255,1,0.01,74,0
64892,18,1152,10,8,644,domain_u,SF,udp,151,231,255,1,0.01,44,0
64893,18,1152,10,8,644,http,SF,tcp,4,4,32,1,0,15360,0
64894,18,1152,10,8,644,domain_u,SF,udp,255,255,255,0.92,0.01,74,0
64895,18,1152,10,8,644,smtp,SF,tcp,1,2,255,0.53,0.06,358,0
64896,18,1152,10,8,644,ftp_data,S0,tcp,9,1,255,0.18,0.05,0,1
64897,18,1152,10,8,644,http,SF,tcp,1,4,27,1,0,39228,0
64898,18,1152,10,8,644,http,S0,tcp,8,7,255,0.18,0.04,0,1
64899,18,1152,10,8,644,private,S0,tcp,130,19,255,0.15,0.06,0,1
64900,20,1276,10,10,644,eco_i,SF,icmp,1,1,4,1,0,0,1
64901,20,1276,10,10,644,http,SF,tcp,23,26,23,1,0,2280,0
64902,20,1276,10,10,644,other,SF,udp,4,2,255,0.02,0.58,105,0
64903,20,1276,10,10,644,private,S0,tcp,224,7,255,0.03,0.06,0,1
64905,20,1276,10,10,644,eco_i,SF,icmp,1,1,1,1,0,0,1
64906,20,1276,10,10,644,private,S0,tcp,123,8,255,0.03,0.06,0,1
64907,20,1276,10,10,644,daytime,RSTO,tcp,285,13,255,0.05,0.07,0,1
64904,20,1276,10,10,644,domain_u,SF,udp,22,22,255,1,0,74,0
64911,18,1152,10,8,644,private,S0,tcp,122,12,255,0.05,0.08,0,1
64908,18,1152,10,8,644,eco_i,SF,icmp,1,36,1,1,0,0,1
64910,18,1152,10,8,644,private,S0,tcp,137,20,255,0.16,0.05,0,1
64909,18,1152,10,8,644,private,S0,tcp,284,10,255,0.04,0.09,0,1
64912,18,1152,10,8,644,ctf,REJ,tcp,256,5,255,0.02,0.07,0,1
64913,18,1152,10,8,644,daytime,S0,tcp,258,5,255,0.02,0.05,0,1
64914,18,1152,10,8,644,smtp,SF,tcp,1,4,19,0.89,0.11,409,0
64915,18,1152,10,8,644,http,SF,tcp,1,1,255,0.95,0.02,3011,0
64916,20,1276,10,10,644,smtp,SF,tcp,1,1,90,0.43,0.08,331,0
64918,20,1276,10,10,644,auth,S0,tcp,236,8,255,0.04,0.07,0,1
64917,20,1276,10,10,644,private,S0,tcp,195,19,255,0.07,0.08,0,1
64919,20,1276,10,10,644,http,SF,tcp,6,8,87,1,0,1761,0
64921,20,1276,10,10,644,domain_u,SF,udp,178,177,255,1,0.01,79,0
64922,20,1276,10,10,644,private,S0,tcp,211,10,255,0.04,0.07,0,1
64920,20,1276,10,10,644,http,SF,tcp,8,9,8,1,0,4930,0
64923,20,1276,10,10,644,ftp_data,SF,tcp,2,2,180,0.35,0.03,0,0
64925,18,1152,10,8,644,http,SF,tcp,5,5,255,0.98,0.01,303,0
64926,18,1152,10,8,644,http,SF,tcp,2,2,189,1,0,2568,0
64924,18,1152,10,8,644,ftp_data,SF,tcp,2,2,137,0.23,0.04,0,0
64927,18,1152,10,8,644,http,SF,tcp,10,10,32,1,0,498,0
64928,18,1152,10,8,644,ftp_data,SF,tcp,8,8,255,0.36,0.02,0,0
64929,18,1152,10,8,644,eco_i,SF,icmp,1,33,4,1,0,0,1
64930,18,1152,10,8,644,http,SF,tcp,3,3,3,1,0,2774,0
64931,18,1152,10,8,644,http,REJ,tcp,1,1,4,1,0,0,0
64932,20,1276,10,10,644,private,SF,udp,2,2,140,0.83,0.01,0,1
64933,20,1276,10,10,644,other,RSTR,tcp,2,2,255,0.01,0.74,0,1
64934,20,1276,10,10,644,http,SF,tcp,3,3,255,1,0,1653,0
64935,20,1276,10,10,644,http,SF,tcp,5,6,255,1,0,306,0
64936,20,1276,10,10,644,other,SF,tcp,20,1,255,0,0.07,0,0
64937,20,1276,10,10,644,http,SF,tcp,5,5,255,1,0,405,0
64938,20,1276,10,10,644,http,SF,tcp,25,25,133,1,0,284,0
64939,20,1276,10,10,644,other,SF,udp,1,1,255,0.01,0.65,105,0
64940,18,1152,10,8,644,eco_i,SF,icmp,1,16,1,1,0,0,1
64942,18,1152,10,8,644,ftp_data,S0,tcp,39,19,41,0.46,0.07,0,1
64941,18,1152,10,8,644,http,S0,tcp,287,7,255,0.02,0.07,0,1
64943,18,1152,10,8,644,private,S0,tcp,81,19,255,0.04,0.06,0,1
64944,18,1152,10,8,644,domain_u,SF,udp,198,275,200,0.81,0.01,126,0
64945,18,1152,10,8,644,private,S0,tcp,188,10,255,0.07,0.07,0,1
64946,18,1152,10,8,644,ftp_data,SF,tcp,15,15,255,0.44,0.03,0,0
64947,18,1152,10,8,644,http,SF,tcp,1,1,40,1,0,398,0
64951,20,1276,10,10,644,ecr_i,SF,icmp,511,511,255,0.76,0.02,0,1
64950,20,1276,10,10,644,http,REJ,tcp,1,1,142,1,0,0,0
64948,20,1276,10,10,644,http,SF,tcp,21,23,79,1,0,275,0
64949,20,1276,10,10,644,private,S0,tcp,85,2,255,0.08,0.07,0,1
64953,20,1276,10,10,644,http,SF,tcp,7,9,9,1,0,9819,0
64952,20,1276,10,10,644,ecr_i,SF,icmp,453,453,255,1,0,0,1
64954,20,1276,10,10,644,http,S0,tcp,20,8,100,0.28,0.04,0,1
64955,20,1276,10,10,644,ftp,SF,tcp,1,1,130,0.23,0.05,4152,0
64958,18,1152,10,8,644,http,S0,tcp,32,8,255,0.13,0.04,0,1
64956,18,1152,10,8,644,http,SF,tcp,1,1,255,0.89,0.01,11512,0
64957,18,1152,10,8,644,private,S0,tcp,247,25,255,0.1,0.05,0,1
64959,18,1152,10,8,644,http,SF,tcp,4,4,4,1,0,6418,0
64960,18,1152,10,8,644,eco_i,SF,icmp,1,5,4,1,0,0,1
64961,18,1152,10,8,644,smtp,SF,tcp,1,1,32,0.56,0.06,369,0
64962,18,1152,10,8,644,http,SF,tcp,2,18,255,1,0,3413,0
64963,18,1152,10,8,644,http,SF,tcp,2,2,7,1,0,2117,0
64967,20,1276,10,10,644,http,SF,tcp,3,3,3,1,0,6464,0
64964,20,1276,10,10,644,domain_u,SF,udp,94,174,255,1,0,44,0
64966,20,1276,10,10,644,http,SF,tcp,13,13,255,1,0,1688,0
64965,20,1276,10,10,644,domain_u,SF,udp,111,113,255,0.89,0.01,45,0
64968,20,1276,10,10,644,http,SF,tcp,1,1,106,1,0,1615,0
64969,20,1276,10,10,644,http,SF,tcp,4,4,255,1,0,1211,0
64970,20,1276,10,10,644,http_443,RSTR,tcp,1,1,255,0,1,0,1
64971,20,1276,10,10,644,kshell,S0,tcp,116,14,255,0.03,0.07,0,1
64973,18,1152,10,8,644,systat,S0,tcp,294,2,255,0.01,0.07,0,1
64974,18,1152,10,8,644,private,S0,tcp,130,4,255,0.02,0.05,0,1
64972,18,1152,10,8,644,other,REJ,tcp,511,1,255,0,1,0,1
64975,18,1152,10,8,644,other,SF,udp,1,1,255,0,0.55,105,0
64976,18,1152,10,8,644,nntp,S0,tcp,71,18,255,0.07,0.07,0,1
64977,18,1152,10,8,644,http,SF,tcp,6,6,255,1,0,2304,0
64978,18,1152,10,8,644,private,S0,tcp,292,3,255,0.02,0.07,0,1
64979,18,1152,10,8,644,http,SF,tcp,22,30,255,1,0,255,0
64980,20,1276,10,10,644,http,SF,tcp,29,29,255,1,0,1206,0
64982,20,1276,10,10,644,private,REJ,tcp,342,1,255,0,1,0,1
64981,20,1276,10,10,644,http,SF,tcp,19,31,255,1,0,1422,0
64983,20,1276,10,10,644,domain_u,SF,udp,310,310,255,1,0.01,74,0
64984,20,1276,10,10,644,http,SF,tcp,3,4,255,1,0,3729,0
64985,20,1276,10,10,644,http,SF,tcp,5,5,55,1,0,8585,0
64986,20,1276,10,10,644,smtp,SF,tcp,1,2,153,0.63,0.04,281,0
64987,20,1276,10,10,644,uucp_path,REJ,tcp,246,12,255,0.05,0.07,0,1
64990,18,1152,10,8,644,http,SF,tcp,1,1,99,0.93,0.02,3136,0
64988,18,1152,10,8,644,private,SF,udp,1,1,57,0.86,0.04,0,1
64989,18,1152,10,8,644,ecr_i,SF,icmp,508,508,255,1,0,0,1
64991,18,1152,10,8,644,link,REJ,tcp,231,2,255,0.01,0.07,0,1
64992,18,1152,10,8,644,other,SF,udp,379,379,255,1,0,4,0
64993,18,1152,10,8,644,private,S0,tcp,181,5,255,0.07,0.07,0,1
64994,18,1152,10,8,644,http,SF,tcp,4,16,30,1,0,753,0
64995,18,1152,10,8,644,private,SF,udp,8,8,255,0.03,0.07,0,1
64998,20,1276,10,10,644,http,SF,tcp,1,14,34,1,0,9737,0
64996,20,1276,10,10,644,http,SF,tcp,2,2,148,1,0,1646,0
64997,20,1276,10,10,644,ecr_i,SF,icmp,511,511,255,0.16,0.07,0,1
64999,20,1276,10,10,644,telnet,S0,tcp,30,7,255,0.2,0.05,0,1
65000,20,1276,10,10,644,http,SF,tcp,7,7,45,1,0,555,0
65001,20,1276,10,10,644,whois,S0,tcp,139,19,255,0.07,0.05,0,1
65002,20,1276,10,10,644,private,S0,tcp,230,15,255,0.06,0.06,0,1
65003,20,1276,10,10,644,sunrpc,S0,tcp,247,21,255,0.08,0.06,0,1
65004,18,1152,10,8,644,http,SF,tcp,17,17,74,1,0,349,0
65005,18,1152,10,8,644,ftp_data,SF,tcp,21,21,192,0.38,0.03,0,0
65007,18,1152,10,8,644,ctf,S0,tcp,272,8,255,0.03,0.08,0,1
65006,18,1152,10,8,644,http,SF,tcp,1,1,6,1,0,193,0
65008,18,1152,10,8,644,klogin,S0,tcp,140,8,255,0.04,0.07,0,1
65009,18,1152,10,8,644,private,S0,tcp,143,1,255,0.07,0.07,0,1
65010,18,1152,10,8,644,eco_i,SF,icmp,1,6,1,1,0,0,1
65011,18,1152,10,8,644,private,S0,tcp,119,12,255,0.01,0.07,0,1
65012,20,1276,10,10,644,efs,S0,tcp,103,15,255,0.06,0.07,0,1
65015,20,1276,10,10,644,http,SF,tcp,7,7,255,1,0,4758,0
65014,20,1276,10,10,644,other,SF,tcp,11,1,227,0,0.04,0,0
65013,20,1276,10,10,644,domain_u,SF,udp,75,155,255,0.95,0.01,109,0
65017,20,1276,10,10,644,http_443,S0,tcp,133,15,255,0.02,0.07,0,1
65018,20,1276,10,10,644,bgp,S0,tcp,271,14,255,0.05,0.08,0,1
65016,20,1276,10,10,644,courier,S0,tcp,104,8,255,0.03,0.06,0,1
65019,20,1276,10,10,644,http,SF,tcp,16,17,23,1,0,2922,0
65021,18,1152,10,8,644,eco_i,SF,icmp,1,12,1,1,0,0,1
65020,18,1152,10,8,644,whois,S0,tcp,192,2,255,0.01,0.07,0,1
65022,18,1152,10,8,644,domain,S0,tcp,204,24,255,0.09,0.05,0,1
65023,18,1152,10,8,644,http,SF,tcp,20,20,255,1,0,1800,0
65024,18,1152,10,8,644,http,SF,tcp,2,2,32,1,0,553,0
65025,18,1152,10,8,644,ftp,S0,tcp,267,18,255,0.04,0.07,0,1
65027,18,1152,10,8,644,http,SF,tcp,1,1,1,1,0,1053,0
65026,18,1152,10,8,644,http,SF,tcp,2,2,45,1,0,13389,0
65029,20,1276,10,10,644,http,SF,tcp,3,3,201,1,0,872,0
65028,20,1276,10,10,644,vmnet,S0,tcp,74,6,255,0.05,0.07,0,1
65030,20,1276,10,10,644,http,SF,tcp,7,8,45,1,0,297,0
65031,20,1276,10,10,644,courier,S0,tcp,111,10,255,0.04,0.05,0,1
65033,20,1276,10,10,644,smtp,SF,tcp,2,1,52,0.69,0.08,335,0
65032,20,1276,10,10,644,ftp_data,SF,tcp,4,4,133,0.32,0.04,0,0
65034,20,1276,10,10,644,private,SF,udp,62,62,134,0.46,0.03,0,1
65035,20,1276,10,10,644,hostnames,REJ,tcp,281,11,255,0.04,0.07,0,1
65036,18,1152,10,8,644,domain_u,SF,udp,145,225,255,1,0.01,42,0
65037,18,1152,10,8,644,smtp,SF,tcp,1,2,57,0.32,0.07,335,0
65039,18,1152,10,8,644,http,SF,tcp,1,12,53,1,0,598,0
65038,18,1152,10,8,644,http,SF,tcp,14,14,255,1,0,772,0
65041,18,1152,10,8,644,time,S0,tcp,191,8,255,0.03,0.07,0,1
65042,18,1152,10,8,644,http,SF,tcp,1,13,5,1,0,602,0
65040,18,1152,10,8,644,ecr_i,SF,icmp,511,511,255,0.81,0.02,0,1
65043,18,1152,10,8,644,http,SF,tcp,9,10,255,1,0,2445,0
68,1,342,1,0,342,http,S0,tcp,23,13,183,0.28,0.02,0,1
65046,20,1276,10,10,644,http,SF,tcp,10,17,240,1,0,1512,0
65045,20,1276,10,10,644,http,SF,tcp,5,5,252,1,0,8314,1
65044,20,1276,10,10,644,private,S0,tcp,242,4,255,0.02,0.05,0,1
65047,20,1276,10,10,644,private,S0,tcp,259,9,255,0.04,0.07,0,1
65048,20,1276,10,10,644,eco_i,SF,icmp,1,28,2,1,0,0,1
65049,20,1276,10,10,644,private,S0,tcp,202,12,255,0.04,0.06,0,1
65050,20,1276,10,10,644,http,SF,tcp,7,7,255,1,0,290,0
65051,20,1276,10,10,644,ftp_data,SF,tcp,2,2,255,0.33,0.07,0,1
65054,18,1152,10,8,644,domain_u,SF,udp,243,243,255,1,0,81,0
65052,18,1152,10,8,644,http,REJ,tcp,14,14,14,1,0,0,0
65053,18,1152,10,8,644,eco_i,SF,icmp,1,33,2,1,0,0,1
65055,18,1152,10,8,644,private,REJ,tcp,78,12,255,0.05,0.08,0,1
65056,18,1152,10,8,644,eco_i,SF,icmp,1,29,2,1,0,0,1
65057,18,1152,10,8,644,http,SF,tcp,13,13,34,1,0,5915,0
65058,18,1152,10,8,644,private,S0,tcp,14,1,255,0,0.09,0,1
65059,18,1152,10,8,644,eco_i,SF,icmp,1,25,2,1,0,0,1
65060,20,1276,10,10,644,ftp_data,SF,tcp,1,2,199,0.17,0.03,0,0
65062,20,1276,10,10,644,finger,S0,tcp,61,17,255,0.23,0.04,0,1
65061,20,1276,10,10,644,http,SF,tcp,27,27,255,1,0,821,0
65063,20,1276,10,10,644,http,S0,tcp,282,22,255,0.09,0.05,0,1
65064,20,1276,10,10,644,ftp_data,S0,tcp,12,2,174,0.24,0.02,0,1
65065,20,1276,10,10,644,private,S0,tcp,236,14,255,0.03,0.08,0,1
65067,20,1276,10,10,644,domain_u,SF,udp,70,142,255,1,0,129,0
65066,20,1276,10,10,644,http,SF,tcp,8,8,191,1,0,28076,0
65069,18,1152,10,8,644,link,S0,tcp,238,11,255,0.04,0.07,0,1
65068,18,1152,10,8,644,http,SF,tcp,26,26,255,1,0,1960,0
65070,18,1152,10,8,644,http,SF,tcp,10,13,216,1,0,319,0
65071,18,1152,10,8,644,private,S0,tcp,260,9,255,0.08,0.05,0,1
65072,18,1152,10,8,644,ecr_i,SF,icmp,510,510,255,0.45,0.08,0,1
65073,18,1152,10,8,644,domain_u,SF,udp,287,286,176,0.81,0.01,45,0
65074,18,1152,10,8,644,smtp,SF,tcp,1,1,50,0.54,0.12,338,0
65075,18,1152,10,8,644,other,SF,udp,2,1,255,0.01,0.6,105,0
65077,20,1276,10,10,644,http,SF,tcp,37,39,255,1,0,1035,0
65076,20,1276,10,10,644,private,RSTR,tcp,2,2,255,0.01,0.73,0,1
65078,20,1276,10,10,644,private,S0,tcp,214,24,155,0.15,0.07,0,1
65079,20,1276,10,10,644,ecr_i,SF,icmp,1,1,153,1,0,0,0
65080,20,1276,10,10,644,finger,S0,tcp,295,20,255,0.01,0.08,0,1
65081,20,1276,10,10,644,http,SF,tcp,1,16,72,1,0,238,0
65082,20,1276,10,10,644,http,SF,tcp,15,15,53,1,0,983,0
65083,20,1276,10,10,644,domain_u,SF,udp,69,149,255,0.95,0.01,126,0
65085,18,1152,10,8,644,http,SF,tcp,17,17,255,1,0,2638,0
65086,18,1152,10,8,644,telnet,S0,tcp,71,20,255,0.16,0.06,0,1
65084,18,1152,10,8,644,http,SF,tcp,20,20,255,1,0,1800,0
65087,18,1152,10,8,644,whois,S0,tcp,286,10,255,0.04,0.05,0,1
65088,18,1152,10,8,644,http,SF,tcp,12,12,88,1,0,2028,0
65089,18,1152,10,8,644,http,SF,tcp,1,15,1,1,0,657,0
65090,18,1152,10,8,644,ecr_i,SF,icmp,511,511,255,0.7,0.02,0,1
65091,18,1152,10,8,644,daytime,S0,tcp,274,8,255,0.03,0.07,0,1
65092,20,1276,10,10,644,iso_tsap,S0,tcp,121,23,255,0.09,0.05,0,1
65093,20,1276,10,10,644,http,SF,tcp,1,1,26,1,0,17192,0
65094,20,1276,10,10,644,telnet,S0,tcp,251,5,255,0.06,0.07,0,1
65095,20,1276,10,10,644,eco_i,SF,icmp,1,33,1,1,0,0,1
65096,20,1276,10,10,644,http,SF,tcp,18,18,179,1,0,2324,0
65097,20,1276,10,10,644,other,SF,udp,4,2,255,0.01,0.41,105,0
65098,20,1276,10,10,644,private,S0,tcp,125,14,64,0.03,0.14,0,1
65099,20,1276,10,10,644,domain_u,SF,udp,26,65,255,1,0,151,0
65100,20,1276,10,10,644,http,REJ,tcp,2,2,2,1,0,0,0
65101,20,1276,10,10,644,http,SF,tcp,3,7,163,1,0,1108,0
65102,20,1276,10,10,644,smtp,SF,tcp,1,1,7,1,0,344,0
65103,20,1276,10,10,644,http,SF,tcp,7,7,255,0.96,0.01,2239,0
65104,20,1276,10,10,644,ecr_i,SF,icmp,511,511,255,0.32,0.02,0,1
65105,20,1276,10,10,644,domain_u,SF,udp,71,149,249,0.66,0.01,130,0
65106,20,1276,10,10,644,http,SF,tcp,8,8,8,1,0,25948,0
65107,20,1276,10,10,644,http,S0,tcp,25,11,255,0.24,0.02,0,1
65110,18,1152,10,8,644,eco_i,SF,icmp,1,15,3,1,0,0,1
65108,18,1152,10,8,644,ftp,SF,tcp,1,1,146,0.18,0.05,903,0
65111,18,1152,10,8,644,private,SF,udp,1,1,10,1,0,147,0
65112,18,1152,10,8,644,private,RSTR,tcp,2,2,255,0.01,0.81,0,1
65113,18,1152,10,8,644,private,REJ,tcp,155,4,255,0.02,0.07,0,1
65109,18,1152,10,8,644,ftp_data,SF,tcp,1,1,9,1,0,0,1
65114,18,1152,10,8,644,http,SF,tcp,5,5,26,1,0,619,0
65115,18,1152,10,8,644,domain_u,SF,udp,65,145,255,1,0.01,132,0
65116,20,1276,10,10,644,http,SF,tcp,14,14,63,1,0,714,0
65117,20,1276,10,10,644,private,REJ,tcp,123,19,255,0.07,0.07,0,1
65118,20,1276,10,10,644,domain_u,SF,udp,155,154,255,1,0.01,43,0
65119,20,1276,10,10,644,netstat,REJ,tcp,106,4,255,0.02,0.08,0,1
65120,20,1276,10,10,644,private,S0,tcp,221,1,255,0.08,0.07,0,1
65121,20,1276,10,10,644,http,SF,tcp,1,1,4,1,0,6717,0
65122,20,1276,10,10,644,private,SF,udp,1,1,213,0.85,0.01,0,1
65123,20,1276,10,10,644,http,SF,tcp,10,10,42,1,0,445,0
65125,18,1152,10,8,644,private,S0,tcp,57,21,255,0.08,0.06,0,1
65124,18,1152,10,8,644,private,SF,udp,182,82,255,0.32,0.68,0,1
65126,18,1152,10,8,644,telnet,S0,tcp,227,12,255,0.07,0.07,0,1
65127,18,1152,10,8,644,domain_u,SF,udp,4,7,255,0.95,0.01,42,0
65128,18,1152,10,8,644,netstat,S0,tcp,47,6,255,0.02,0.09,0,1
65129,18,1152,10,8,644,other,SF,tcp,23,1,255,0,0.02,0,0
65130,18,1152,10,8,644,eco_i,SF,icmp,1,11,1,1,0,0,1
65131,18,1152,10,8,644,gopher,S0,tcp,254,2,255,0.07,0.08,0,1
65133,20,1276,10,10,644,http,SF,tcp,3,4,9,1,0,3199,0
65132,20,1276,10,10,644,smtp,SF,tcp,1,1,201,0.53,0.03,328,0
65134,20,1276,10,10,644,http,SF,tcp,19,19,106,1,0,1244,0
65135,20,1276,10,10,644,domain_u,SF,udp,184,186,255,0.91,0.01,43,0
65137,20,1276,10,10,644,http,REJ,tcp,1,1,2,1,0,0,0
65136,20,1276,10,10,644,http,SF,tcp,4,5,100,1,0,480,0
65138,20,1276,10,10,644,auth,S0,tcp,233,4,255,0.02,0.07,0,1
65139,20,1276,10,10,644,http,SF,tcp,7,8,255,0.96,0.01,1380,0
65140,18,1152,10,8,644,pop_3,SF,tcp,1,1,88,0.02,0.1,130,0
65142,18,1152,10,8,644,http,SF,tcp,7,7,29,1,0,6660,0
65141,18,1152,10,8,644,http,SF,tcp,1,3,46,1,0,720,0
65143,18,1152,10,8,644,eco_i,SF,icmp,1,31,2,1,0,0,1
65145,18,1152,10,8,644,ctf,REJ,tcp,276,10,255,0.04,0.07,0,1
65147,18,1152,10,8,644,smtp,SF,tcp,1,4,34,0.41,0.09,331,0
65146,18,1152,10,8,644,http,SF,tcp,1,2,255,0.97,0.01,18246,0
65144,18,1152,10,8,644,ecr_i,SF,icmp,511,511,255,0.2,0.04,0,1
65149,20,1276,10,10,644,telnet,S0,tcp,115,20,255,0.02,0.09,0,1
65148,20,1276,10,10,644,http,SF,tcp,16,47,255,1,0,30328,0
65151,20,1276,10,10,644,http,SF,tcp,3,4,255,0.95,0.02,2507,0
65152,20,1276,10,10,644,http,SF,tcp,1,12,79,1,0,295,0
65150,20,1276,10,10,644,http,SF,tcp,8,9,188,1,0,642,0
65153,20,1276,10,10,644,smtp,RSTO,tcp,253,2,255,0.01,0.08,0,1
65154,20,1276,10,10,644,domain_u,SF,udp,165,167,255,0.89,0.01,76,0
65155,20,1276,10,10,644,private,RSTR,tcp,1,1,255,0,0.36,0,1
65159,20,1276,10,10,644,http,SF,tcp,8,8,114,1,0,561,0
65158,20,1276,10,10,644,ftp_data,SF,tcp,1,1,13,0.15,0.23,0,0
65157,20,1276,10,10,644,http,SF,tcp,19,19,33,1,0,1894,0
65156,20,1276,10,10,644,http,SF,tcp,18,22,255,1,0,1274,0
65160,20,1276,10,10,644,daytime,RSTO,tcp,238,17,255,0.07,0.08,0,1
65161,20,1276,10,10,644,http,SF,tcp,20,20,255,1,0,2557,0
65163,20,1276,10,10,644,netbios_ns,S0,tcp,225,19,255,0.07,0.07,0,1
65162,20,1276,10,10,644,http,SF,tcp,16,20,255,1,0,7156,0
65166,18,1152,10,8,644,http,SF,tcp,8,8,24,1,0,1179,0
65167,18,1152,10,8,644,urp_i,SF,icmp,2,1,255,0.08,0.01,0,0
65164,18,1152,10,8,644,private,S0,tcp,150,21,255,0.08,0.05,0,1
65168,18,1152,10,8,644,eco_i,SF,icmp,1,42,4,1,0,0,1
65165,18,1152,10,8,644,ftp,SF,tcp,1,1,243,0.25,0.02,3380,0
65169,18,1152,10,8,644,http,SF,tcp,1,1,79,1,0,4455,0
65170,18,1152,10,8,644,private,S0,tcp,225,10,255,0.04,0.09,0,1
65171,18,1152,10,8,644,nntp,S0,tcp,287,7,255,0.01,0.07,0,1
65173,20,1276,10,10,644,eco_i,SF,icmp,1,1,1,1,0,0,1
65172,20,1276,10,10,644,echo,S0,tcp,56,7,255,0.03,0.07,0,1
65174,20,1276,10,10,644,netbios_ssn,REJ,tcp,238,1,255,0,0.07,0,1
